name,raw_location,description,year,rank,city,restaurant_key,latitude,longitude
Eaker Barbecue,Fredericksburg,"FredericksburgEaker BarbecueCopy linkOpened:2018Pitmaster:Lance Eaker, 49Method:Mesquite and a bit of post oak; offset smokerPro Tip:It’s pronounced “Acre.”Wedding-venue shoppers and wine enthusiasts can now add smoked meat to the list of reasons to visit the Burg. After three years of cooking ’cue out of a food truck near Houston, Lance Eaker and his wife, Boo, took off for the Hill Country in June and opened this brick-and-mortar. While the traditional meats and sides are solid, it’s Seoul-bor",2021,20.0,Fredericksburg,eaker barbecue_fredericksburg,30.2752,-98.872
Eaker Barbecue,Fredericksburg,"Fredericksburg Eaker Barbecue Copy link Opened: 2018 Pitmaster: Lance Eaker, 49 Method: Mesquite and a bit of post oak; offset smoker Pro Tip: It’s pronounced “Acre.” Wedding-venue shoppers and wine enthusiasts can now add smoked meat to the list of reasons to visit the Burg. After three years of cooking ’cue out of a food truck near Houston, Lance Eaker and his wife, Boo, took off for the Hill Country in June and opened this brick-and-mortar. While the traditional meats and sides are solid, it’",2021,20.0,Fredericksburg,eaker barbecue_fredericksburg,30.2752,-98.872
Hurtado Barbecue,Arlington,"ArlingtonHurtado BarbecueCopy linkOpened:2020Pitmaster:Brandon Hurtado, 34; Chris Leffel, 36; Michael Sharp, 32; Andrew Zelade, 30Method:Post oak; offset and wood-fired rotisserie smokersPro Tip:Don’t miss the Texas Twinkie, a brisket-and-pimento-cheese-stuffed jalapeño wrapped in bacon.The menu at this joint that serves “Central Texas–style barbecue with a Tex-Mex twist” includes such unusual fare as pork belly burnt ends and quail. If you can’t make up your mind, order the El Jefe Platter, a s",2021,,Arlington,hurtado barbecue_arlington,32.7357,-97.1081
Hurtado Barbecue,Arlington,"Arlington Hurtado Barbecue Copy link Opened: 2020 Pitmaster: Brandon Hurtado, 34; Chris Leffel, 36; Michael Sharp, 32; Andrew Zelade, 30 Method: Post oak; offset and wood-fired rotisserie smokers Pro Tip: Don’t miss the Texas Twinkie, a brisket-and-pimento-cheese-stuffed jalapeño wrapped in bacon. The menu at this joint that serves “Central Texas–style barbecue with a Tex-Mex twist” includes such unusual fare as pork belly burnt ends and quail. If you can’t make up your mind, order the El Jefe P",2021,,Arlington,hurtado barbecue_arlington,32.7357,-97.1081
Distant Relatives,Austin,"AustinDistant RelativesCopy linkOpened:2021Pitmaster:Damien Brockway, 38; Omari Mackey, 27; Wesley Robinson, 28Method:Pecan; offset smokerPro Tip:If you’re a fan of subtle heat, grab some spicy smoked peanuts as a snack.The Distant Relatives truck is located in the lot by Meanwhile Brewing Company, in South Austin, and diners can take advantage of the brewery’s expansive outdoor seating (and excellent beer). When owner and pitmaster Damien Brockway first opened his truck, in late February, brisk",2021,,Austin,distant relatives_austin,30.2672,-97.7431
Distant Relatives,Austin,"Austin Distant Relatives Copy link Opened: 2021 Pitmaster: Damien Brockway, 38; Omari Mackey, 27; Wesley Robinson, 28 Method: Pecan; offset smoker Pro Tip: If you’re a fan of subtle heat, grab some spicy smoked peanuts as a snack. The Distant Relatives truck is located in the lot by Meanwhile Brewing Company, in South Austin, and diners can take advantage of the brewery’s expansive outdoor seating (and excellent beer). When owner and pitmaster Damien Brockway first opened his truck, in late Febr",2021,,Austin,distant relatives_austin,30.2672,-97.7431
La Barbecue,Austin,"AustinLa BarbecueCopy linkOpened:2012Pitmaster:Ali Clem, 40; LeAnn Mueller, 49Method:Post oak; offset smokerPro Tip:If you’re in the mood for smoked craft hot dogs, try Mueller and Clem’s Red Rocket Wiener Wagon pop-up.After almost a decade of hopping around East Austin in various food trucks (and sharing a space with a high-end convenience store), La Barbecue has found a permanent home. The new digs are covered in artwork that ranges from the sentimental, like the painting of LeAnn’s mother, Tr",2021,,Austin,la barbecue_austin,30.2672,-97.7431
La Barbecue,Austin,"Austin La Barbecue Copy link Opened: 2012 Pitmaster: Ali Clem, 40; LeAnn Mueller, 49 Method: Post oak; offset smoker Pro Tip: If you’re in the mood for smoked craft hot dogs, try Mueller and Clem’s Red Rocket Wiener Wagon pop-up. After almost a decade of hopping around East Austin in various food trucks (and sharing a space with a high-end convenience store), La Barbecue has found a permanent home. The new digs are covered in artwork that ranges from the sentimental, like the painting of LeAnn’s",2021,,Austin,la barbecue_austin,30.2672,-97.7431
Micklethwait Craft Meats,Austin,"AustinMicklethwait Craft MeatsCopy linkOpened:2012Pitmaster:Ren Garcia, 47; Tom Micklethwait, 43Method:Oak; offset smokerPro Tip:Order the Frito pie, which comes generously topped with smoked brisket.The cheerful yellow Micklethwait food truck boasts a prime location with a covered seating area in East Austin, just off I-35, where it serves up tasty pork ribs, snappy Tex-Czech sausage, a juicy half chicken, and moist brisket with an impeccable crust. True to its name, the quaint truck gets craft",2021,,Austin,micklethwait craft meats_austin,30.2672,-97.7431
Micklethwait Craft Meats,Austin,"Austin Micklethwait Craft Meats Copy link Opened: 2012 Pitmaster: Ren Garcia, 47; Tom Micklethwait, 43 Method: Oak; offset smoker Pro Tip: Order the Frito pie, which comes generously topped with smoked brisket. The cheerful yellow Micklethwait food truck boasts a prime location with a covered seating area in East Austin, just off I-35, where it serves up tasty pork ribs, snappy Tex-Czech sausage, a juicy half chicken, and moist brisket with an impeccable crust. True to its name, the quaint truck",2021,,Austin,micklethwait craft meats_austin,30.2672,-97.7431
1701 Barbecue,Beaumont,"Beaumont1701 BarbecueCopy linkOpened:2020Pitmaster:Blue Broussard, 37; Travis Cox, 38; Jacob Golmon, 37; Derek Ray, 35; Colton Savoie, 19; Gage Stark, 18Method:Post oak; offset smokerPro Tip:Come early—this joint often sells out well before 2 p.m.The neon sign in the dining room may say “Local,” but 1701 Barbecue is more like an embassy for Central Texas in Beaumont, thanks to offerings such as juicy, snappy, coarse-ground sausage and freshly made peach cobbler. Though any visitor to Beaumont sh",2021,,Beaumont,1701 barbecue_beaumont,30.086,-94.1018
1701 Barbecue,Beaumont,"Beaumont 1701 Barbecue Copy link Opened: 2020 Pitmaster: Blue Broussard, 37; Travis Cox, 38; Jacob Golmon, 37; Derek Ray, 35; Colton Savoie, 19; Gage Stark, 18 Method: Post oak; offset smoker Pro Tip: Come early—this joint often sells out well before 2 p.m. The neon sign in the dining room may say “Local,” but 1701 Barbecue is more like an embassy for Central Texas in Beaumont, thanks to offerings such as juicy, snappy, coarse-ground sausage and freshly made peach cobbler. Though any visitor to ",2021,,Beaumont,1701 barbecue_beaumont,30.086,-94.1018
Blood Bros. BBQ,Bellaire,"BellaireBlood Bros. BBQCopy linkOpened:2018Pitmaster:Quy Hoang, 48; Jaime Valencia, 37; Robin Wong, 46Method:Oak and pecan; offset smokerPro Tip:A new menu is posted every day on this joint’s social media accounts.Many of Houston’s best eateries are tucked inside strip malls, and Blood Bros. is a great example. Owners Quy Hoang and Terry and Robin Wong, who grew up together in Alief, first cut their teeth at pop-ups around town; their brick-and-mortar location has become a bustling hub for inven",2021,,Bellaire,blood bros. bbq_bellaire,29.7058,-95.4588
Blood Bros. BBQ,Bellaire,"Bellaire Blood Bros. BBQ Copy link Opened: 2018 Pitmaster: Quy Hoang, 48; Jaime Valencia, 37; Robin Wong, 46 Method: Oak and pecan; offset smoker Pro Tip: A new menu is posted every day on this joint’s social media accounts. Many of Houston’s best eateries are tucked inside strip malls, and Blood Bros. is a great example. Owners Quy Hoang and Terry and Robin Wong, who grew up together in Alief, first cut their teeth at pop-ups around town; their brick-and-mortar location has become a bustling hu",2021,,Bellaire,blood bros. bbq_bellaire,29.7058,-95.4588
Miller’s Smokehouse,Belton,"BeltonMiller’s SmokehouseCopy linkOpened:2008Pitmaster:Bradley Knight, 33; Dirk Miller, 57; Dylon Miller, 30; Chris Oliver, 22Method:Post oak; offset smokerPro Tip:Breakfast tacos and sandwiches are served each morning from 7:30 to 10:55. Try them with the excellent coffee, available all day long.Miller’s Smokehouse sits right at the crossroads of old-school and new-school Texas barbecue. The restaurant—a sleekly renovated building—looks at first like just another iteration of trendy food-concep",2021,,Belton,miller’s smokehouse_belton,31.056,-97.4647
Miller’s Smokehouse,Belton,"Belton Miller’s Smokehouse Copy link Opened: 2008 Pitmaster: Bradley Knight, 33; Dirk Miller, 57; Dylon Miller, 30; Chris Oliver, 22 Method: Post oak; offset smoker Pro Tip: Breakfast tacos and sandwiches are served each morning from 7:30 to 10:55. Try them with the excellent coffee, available all day long. Miller’s Smokehouse sits right at the crossroads of old-school and new-school Texas barbecue. The restaurant—a sleekly renovated building—looks at first like just another iteration of trendy ",2021,,Belton,miller’s smokehouse_belton,31.056,-97.4647
LJ’s BBQ,Brenham,"BrenhamLJ’s BBQCopy linkOpened:2015Pitmaster:Corey Cook, 46; Matt Lowery, 40Method:Post oak; offset smokerPro Tip:On Fridays and Saturdays, don’t miss the free, locally brewed beer in the cooler just past the checkout.As we waited in a line that was nearly out the door, we found ourselves envying the locals who knew to get to LJ’s right when it opened. By the time we made it to the counter, Matt Lowery himself was slicing brisket at a rapid pace (he’d already sold out of ribs). We walked to the ",2021,,Brenham,lj’s bbq_brenham,30.1669,-96.3977
LJ’s BBQ,Brenham,"Brenham LJ’s BBQ Copy link Opened: 2015 Pitmaster: Corey Cook, 46; Matt Lowery, 40 Method: Post oak; offset smoker Pro Tip: On Fridays and Saturdays, don’t miss the free, locally brewed beer in the cooler just past the checkout. As we waited in a line that was nearly out the door, we found ourselves envying the locals who knew to get to LJ’s right when it opened. By the time we made it to the counter, Matt Lowery himself was slicing brisket at a rapid pace (he’d already sold out of ribs). We wal",2021,,Brenham,lj’s bbq_brenham,30.1669,-96.3977
Vera’s Backyard Bar-B-Que,Brownsville,"BrownsvilleVera’s Backyard Bar-B-QueCopy linkOpened:1955Pitmaster:Armando “Mando” Vera, 61Method:Mesquite; underground brick-lined pitPro Tip:Most patrons take their food to go, but we’d advise dining in and chatting with Mando.Signs on the walls of Vera’s extol the merits of apples, burgers, and cookies, which to our mind is akin to an Alamo gift shop lining its walls with decor celebrating the Empire State Building. If you’ve come to this joint, the last in the state allowed to cook its meat i",2021,,Brownsville,vera’s backyard bar-b-que_brownsville,25.9017,-97.4975
Vera’s Backyard Bar-B-Que,Brownsville,"Brownsville Vera’s Backyard Bar-B-Que Copy link Opened: 1955 Pitmaster: Armando “Mando” Vera, 61 Method: Mesquite; underground brick-lined pit Pro Tip: Most patrons take their food to go, but we’d advise dining in and chatting with Mando. Signs on the walls of Vera’s extol the merits of apples, burgers, and cookies, which to our mind is akin to an Alamo gift shop lining its walls with decor celebrating the Empire State Building. If you’ve come to this joint, the last in the state allowed to cook",2021,,Brownsville,vera’s backyard bar-b-que_brownsville,25.9017,-97.4975
Mimsy’s Craft Barbecue,Crockett,"CrockettMimsy’s Craft BarbecueCopy linkOpened:2020Pitmaster:Wade Elkins, 36Method:Post oak; reverse-flow smokerPro Tip:If you’re in a hurry, grab a wrap, which features sausage swaddled in brisket-fat tortillas.Wade and Kathy Elkins were high school sweethearts in the town of Magnolia, north of Houston. After moving to the Bayou City, Kathy, a classically trained chef, worked at various restaurants while Wade, a self-taught pitmaster, began to do barbecue pop-ups. When a family-owned building ca",2021,,Crockett,mimsy’s craft barbecue_crockett,31.3182,-95.4563
Mimsy’s Craft Barbecue,Crockett,"Crockett Mimsy’s Craft Barbecue Copy link Opened: 2020 Pitmaster: Wade Elkins, 36 Method: Post oak; reverse-flow smoker Pro Tip: If you’re in a hurry, grab a wrap, which features sausage swaddled in brisket-fat tortillas. Wade and Kathy Elkins were high school sweethearts in the town of Magnolia, north of Houston. After moving to the Bayou City, Kathy, a classically trained chef, worked at various restaurants while Wade, a self-taught pitmaster, began to do barbecue pop-ups. When a family-owned ",2021,,Crockett,mimsy’s craft barbecue_crockett,31.3182,-95.4563
Slow Bone,Dallas,"DallasSlow BoneCopy linkOpened:2013Pitmaster:Jeffery Hobbs, 51Method:Hickory and oak; wood-fired rotisserie smokerPro Tip:Yes, this is a barbecue list, but Slow Bone also serves the best fried chicken we’ve found in town.During a recent weekday lunch visit, we joined the many dude duos who had crowded the parking lot with their vehicles. “You spend your whole life trying to figure your wife out,” we heard one man say to another; others were eating in reverent silence. In line, we’d asked pitmast",2021,,Dallas,slow bone_dallas,32.7767,-96.797
Slow Bone,Dallas,"Dallas Slow Bone Copy link Opened: 2013 Pitmaster: Jeffery Hobbs, 51 Method: Hickory and oak; wood-fired rotisserie smoker Pro Tip: Yes, this is a barbecue list, but Slow Bone also serves the best fried chicken we’ve found in town. During a recent weekday lunch visit, we joined the many dude duos who had crowded the parking lot with their vehicles. “You spend your whole life trying to figure your wife out,” we heard one man say to another; others were eating in reverent silence. In line, we’d as",2021,,Dallas,slow bone_dallas,32.7767,-96.797
Smokey Joe’s BBQ,Dallas,"DallasSmokey Joe’s BBQCopy linkOpened:1985Pitmaster:Earl Harris, 56; Kris Manning, 31Method:Hickory and oak (brisket only); offset smokerPro Tip:Smokey Joe’s has hopped on the bandwagon for barbecue tacos, though they’re available only on Tuesdays.Since Joe Melton and Kenneth Manning opened Smokey Joe’s in the mid-eighties and later passed it on to Manning’s son Kris, the joint has smartly adapted to the evolution of Texas barbecue. Its original brick pit has been replaced with offset smokers th",2021,,Dallas,smokey joe’s bbq_dallas,32.7767,-96.797
Smokey Joe’s BBQ,Dallas,"Dallas Smokey Joe’s BBQ Copy link Opened: 1985 Pitmaster: Earl Harris, 56; Kris Manning, 31 Method: Hickory and oak (brisket only); offset smoker Pro Tip: Smokey Joe’s has hopped on the bandwagon for barbecue tacos, though they’re available only on Tuesdays. Since Joe Melton and Kenneth Manning opened Smokey Joe’s in the mid-eighties and later passed it on to Manning’s son Kris, the joint has smartly adapted to the evolution of Texas barbecue. Its original brick pit has been replaced with offset",2021,,Dallas,smokey joe’s bbq_dallas,32.7767,-96.797
Desert Oak Barbecue,El Paso,"El PasoDesert Oak BarbecueCopy linkOpened:2015Pitmaster:Richard Funk, 45Method:Post oak; offset smokerPro Tip:Add some tangy chiles toreados, which are grilled over oak coals, to your meal.Desert Oak’s plastic utensils hint at how tender the meat is. Even though we wandered into the diminutive joint shortly before closing time and bought the last bit of the day’s brisket, the meat was still pliable and savory. But we were especially surprised by the sublime smoked sausage, the soft threads of pu",2021,,El Paso,desert oak barbecue_el paso,31.7619,-106.485
Desert Oak Barbecue,El Paso,"El Paso Desert Oak Barbecue Copy link Opened: 2015 Pitmaster: Richard Funk, 45 Method: Post oak; offset smoker Pro Tip: Add some tangy chiles toreados, which are grilled over oak coals, to your meal. Desert Oak’s plastic utensils hint at how tender the meat is. Even though we wandered into the diminutive joint shortly before closing time and bought the last bit of the day’s brisket, the meat was still pliable and savory. But we were especially surprised by the sublime smoked sausage, the soft th",2021,,El Paso,desert oak barbecue_el paso,31.7619,-106.485
Dayne’s Craft Barbecue,Fort Worth,"Fort WorthDayne’s Craft BarbecueCopy linkOpened:2019Pitmaster:Thomas Loven, 26; Dayne Weaver, 34Method:Red oak and post oak; offset smokerPro Tip:If you go on a Sunday, check out the specialty burgers, such as the jalapeño-Havarti.Not long ago, husband-and-wife duo Dayne and Ashley Weaver were selling barbecue out of their backyard. Then they progressed to the pop-up scene and, finally, to a home at Lola’s Trailer Park, in Fort Worth’s Cultural District. The crew plates some of the most attracti",2021,,Fort Worth,dayne’s craft barbecue_fort worth,32.7555,-97.3308
Dayne’s Craft Barbecue,Fort Worth,"Fort Worth Dayne’s Craft Barbecue Copy link Opened: 2019 Pitmaster: Thomas Loven, 26; Dayne Weaver, 34 Method: Red oak and post oak; offset smoker Pro Tip: If you go on a Sunday, check out the specialty burgers, such as the jalapeño-Havarti. Not long ago, husband-and-wife duo Dayne and Ashley Weaver were selling barbecue out of their backyard. Then they progressed to the pop-up scene and, finally, to a home at Lola’s Trailer Park, in Fort Worth’s Cultural District. The crew plates some of the mo",2021,,Fort Worth,dayne’s craft barbecue_fort worth,32.7555,-97.3308
Hutchins BBQ,Frisco,"FriscoHutchins BBQCopy linkOpened:2014Pitmaster:Tim Hutchins, 41; Trey Hutchins, 50; John Mueller, 52Method:Oak and pecan; wood-fired rotisserie smokerPro Tip:Try the Texas Twinkie, a stuffed jalapeño that inspired the similarly delicious one at Arlington’s Hurtado Barbecue.The sides steal the show at the Frisco location of Hutchins BBQ (the original opened in 1978, in Princeton, under a different name, then moved to McKinney). They include garlicky mashed potatoes, bacon-infused mac and cheese,",2021,,Frisco,hutchins bbq_frisco,33.1507,-96.8236
Hutchins BBQ,Frisco,"Frisco Hutchins BBQ Copy link Opened: 2014 Pitmaster: Tim Hutchins, 41; Trey Hutchins, 50; John Mueller, 52 Method: Oak and pecan; wood-fired rotisserie smoker Pro Tip: Try the Texas Twinkie, a stuffed jalapeño that inspired the similarly delicious one at Arlington’s Hurtado Barbecue. The sides steal the show at the Frisco location of Hutchins BBQ (the original opened in 1978, in Princeton, under a different name, then moved to McKinney). They include garlicky mashed potatoes, bacon-infused mac ",2021,,Frisco,hutchins bbq_frisco,33.1507,-96.8236
Baker Boys BBQ,Gonzales,"GonzalesBaker Boys BBQCopy linkOpened:2015Pitmaster:Phil Baker, 69; Wayne Baker, 40Method:Charcoal briquettes; indirect-heat pitPro Tip:Get the chocolate meringue pie chilled, not at room temperature.When a joint executes the holy trinity as well as Baker Boys does, you’d be forgiven for overlooking its other meat options. But don’t make that mistake here. The smoked turkey, generous half chicken, roasted raspberry-chipotle-glazed pork loin, and chicken legs stuffed with jalapeño and onion shoul",2021,,Gonzales,baker boys bbq_gonzales,29.5016,-97.4525
Baker Boys BBQ,Gonzales,"Gonzales Baker Boys BBQ Copy link Opened: 2015 Pitmaster: Phil Baker, 69; Wayne Baker, 40 Method: Charcoal briquettes; indirect-heat pit Pro Tip: Get the chocolate meringue pie chilled, not at room temperature. When a joint executes the holy trinity as well as Baker Boys does, you’d be forgiven for overlooking its other meat options. But don’t make that mistake here. The smoked turkey, generous half chicken, roasted raspberry-chipotle-glazed pork loin, and chicken legs stuffed with jalapeño and ",2021,,Gonzales,baker boys bbq_gonzales,29.5016,-97.4525
Zavala’s Barbecue,Grand Prairie,"Grand PrairieZavala’s BarbecueCopy linkOpened:2019Pitmaster:Joseph Bastian, 19; Ellie Snyder, 30; Joe Zavala, 35Method:Post oak and pecan; offset smokerPro Tip:Fajita night starts at 4 p.m. Thursdays, and brisket breakfast tacos can be had Tuesdays through Fridays.Joe Zavala aimed to bring his South Texas heritage to the Metroplex, as you can see in such items as the Sloppy Juan (chopped brisket, pulled pork, and barbecue sauce wrapped in a locally made tortilla) and in delectable sauces such as",2021,,Grand Prairie,zavala’s barbecue_grand prairie,32.7459,-96.9978
Zavala’s Barbecue,Grand Prairie,"Grand Prairie Zavala’s Barbecue Copy link Opened: 2019 Pitmaster: Joseph Bastian, 19; Ellie Snyder, 30; Joe Zavala, 35 Method: Post oak and pecan; offset smoker Pro Tip: Fajita night starts at 4 p.m. Thursdays, and brisket breakfast tacos can be had Tuesdays through Fridays. Joe Zavala aimed to bring his South Texas heritage to the Metroplex, as you can see in such items as the Sloppy Juan (chopped brisket, pulled pork, and barbecue sauce wrapped in a locally made tortilla) and in delectable sau",2021,,Grand Prairie,zavala’s barbecue_grand prairie,32.7459,-96.9978
Feges BBQ,Houston,"HoustonFeges BBQCopy linkOpened:2021Pitmaster:Vince Boisaubin, 32; Hristo Cisneros, 24; Zach Cook, 34; Ozzi Escalante, 21
Patrick Feges, 36Method:Oak; wood-fired rotisserie smokerPro Tip:Pair your barbecue with a glass of wine from the thoughtfully curated list.The first Feges BBQ opened in Houston’s Greenway Plaza food court, in 2018, with as much emphasis on sides as smoked meats. It hasn’t slowed down since we named it one of the 25 best new barbecue joints in 2019, and a second location, wit",2021,,Houston,feges bbq_houston,29.7604,-95.3698
Feges BBQ,Houston,"Houston Feges BBQ Copy link Opened: 2021 Pitmaster: Vince Boisaubin, 32; Hristo Cisneros, 24; Zach Cook, 34; Ozzi Escalante, 21
Patrick Feges, 36 Method: Oak; wood-fired rotisserie smoker Pro Tip: Pair your barbecue with a glass of wine from the thoughtfully curated list. The first Feges BBQ opened in Houston’s Greenway Plaza food court, in 2018, with as much emphasis on sides as smoked meats. It hasn’t slowed down since we named it one of the 25 best new barbecue joints in 2019, and a second lo",2021,,Houston,feges bbq_houston,29.7604,-95.3698
Brett’s BBQ Shop,Katy,"KatyBrett’s BBQ ShopCopy linkOpened:2018Pitmaster:Rolando Garcia, 38; Brett Jackson, 40Method:Oak; offset smokerPro Tip:Before you go, check out @brettsbarbecueshop on Facebook or Instagram, where weekly specials are posted.Wedged between a tailor’s shop and a vacuum store in a Katy strip mall, Brett’s is inconspicuous, to say the least. But when we walked in, general manager Jacqueline Herrera promptly greeted us, expertly determined our order based on hunger level and party size, and pointed u",2021,,Katy,brett’s bbq shop_katy,29.7858,-95.8244
Brett’s BBQ Shop,Katy,"Katy Brett’s BBQ Shop Copy link Opened: 2018 Pitmaster: Rolando Garcia, 38; Brett Jackson, 40 Method: Oak; offset smoker Pro Tip: Before you go, check out @brettsbarbecueshop on Facebook or Instagram, where weekly specials are posted. Wedged between a tailor’s shop and a vacuum store in a Katy strip mall, Brett’s is inconspicuous, to say the least. But when we walked in, general manager Jacqueline Herrera promptly greeted us, expertly determined our order based on hunger level and party size, an",2021,,Katy,brett’s bbq shop_katy,29.7858,-95.8244
Convenience West,Marfa,"MarfaConvenience WestCopy linkOpened:2017Pitmaster:Mark Scott, 35Method:Oak; offset smokerPro Tip:After a long break, the joint is once again offering outdoor dining. But if you go the take-out route, order online several days before you pick it up.When we visited this joint, which is housed in a former gas station and bus stop, we anticipated the meat, of course, but also the much-raved-about sides, specifically the popular Carrot Dip Dip: roasted carrots blended with onion, garlic, and red pep",2021,,Marfa,convenience west_marfa,30.3086,-104.0194
Convenience West,Marfa,"Marfa Convenience West Copy link Opened: 2017 Pitmaster: Mark Scott, 35 Method: Oak; offset smoker Pro Tip: After a long break, the joint is once again offering outdoor dining. But if you go the take-out route, order online several days before you pick it up. When we visited this joint, which is housed in a former gas station and bus stop, we anticipated the meat, of course, but also the much-raved-about sides, specifically the popular Carrot Dip Dip: roasted carrots blended with onion, garlic, ",2021,,Marfa,convenience west_marfa,30.3086,-104.0194
